state,year,disposable_income_per_capita
Nebraska,2015,44198
Nevada,2015,38626
New Hampshire,2015,48366
New Jersey,2015,50024
New Mexico,2015,35028
New York,2015,47045
North Carolina,2015,37038
North Dakota,2015,50435
Ohio,2015,39023
Oklahoma,2015,42049
Oregon,2015,38260
Pennsylvania,2015,43259
Rhode Island,2015,42939
South Carolina,2015,35930
South Dakota,2015,43977
Tennessee,2015,38495
Texas,2015,43362
Utah,2015,35079
Vermont,2015,42939
Virginia,2015,45032
Washington,2015,47124
West Virginia,2015,33418
Wisconsin,2015,40728
Wyoming,2015,51094
Alabama,2016,34912
Alaska,2016,50719
Arizona,2016,36895
Arkansas,2016,36198
California,2016,47720
Colorado,2016,44521
Connecticut,2016,56979
Delaware,2016,42636
District of Columbia,2016,65669
Florida,2016,42036
Georgia,2016,38803
Hawaii,2016,42939
Idaho,2016,36895
Illinois,2016,44737
Indiana,2016,39111
Iowa,2016,41357
Kansas,2016,42939
Kentucky,2016,35401
Louisiana,2016,40050
Maine,2016,38699
Maryland,2016,48915
Massachusetts,2016,52377
Michigan,2016,39442
Minnesota,2016,45620
Mississippi,2016,33596
Missouri,2016,39111
Montana,2016,40014
Nebraska,2016,45032
Nevada,2016,39963
New Hampshire,2016,49980
New Jersey,2016,51276
New Mexico,2016,35930
New York,2016,48915
North Carolina,2016,38647
North Dakota,2016,50509
Ohio,2016,40488
Oklahoma,2016,42308
Oregon,2016,39442
Pennsylvania,2016,44737
Rhode Island,2016,44199
South Carolina,2016,36895
South Dakota,2016,45032
Tennessee,2016,39703
Texas,2016,44737
Utah,2016,36895
Vermont,2016,43684
Virginia,2016,46212
Washington,2016,48915
West Virginia,2016,33916
Wisconsin,2016,42042
Wyoming,2016,51447
Alabama,2017,36166
Alaska,2017,51925
Arizona,2017,38803
Arkansas,2017,37340
California,2017,49753
Colorado,2017,47191
Connecticut,2017,58242
Delaware,2017,44182
District of Columbia,2017,67462
Florida,2017,44737
Georgia,2017,40736
Hawaii,2017,44737
Idaho,2017,39010
Illinois,2017,47004
Indiana,2017,40736
Iowa,2017,43193
Kansas,2017,44737
Kentucky,2017,37131
Louisiana,2017,41447
Maine,2017,40143
Maryland,2017,50719
Massachusetts,2017,54899
Michigan,2017,40736
Minnesota,2017,47720
Mississippi,2017,34484
Missouri,2017,40736
Montana,2017,42036
Nebraska,2017,47004
Nevada,2017,41927
New Hampshire,2017,52048
New Jersey,2017,53664
New Mexico,2017,37580
New York,2017,50944
North Carolina,2017,40736
North Dakota,2017,51514
Ohio,2017,42036
Oklahoma,2017,44737
Oregon,2017,41887
Pennsylvania,2017,47004
Rhode Island,2017,45620
South Carolina,2017,39010
South Dakota,2017,47124
Tennessee,2017,41447
Texas,2017,47004
Utah,2017,39963
Vermont,2017,44737
Virginia,2017,48150
Washington,2017,51764
West Virginia,2017,34912
Wisconsin,2017,43684
Wyoming,2017,51764
Alabama,2018,37639
Alaska,2018,54642
Arizona,2018,40736
Arkansas,2018,39144
California,2018,52048
Colorado,2018,50732
Connecticut,2018,61208
Delaware,2018,46705
District of Columbia,2018,69518
Florida,2018,47004
Georgia,2018,42759
Hawaii,2018,47004
Idaho,2018,42036
Illinois,2018,50719
Indiana,2018,42939
Iowa,2018,45032
Kansas,2018,47004
Kentucky,2018,39963
Louisiana,2018,43818
Maine,2018,42036
Maryland,2018,54899
Massachusetts,2018,58242
Michigan,2018,42939
Minnesota,2018,50263
Mississippi,2018,36347
Missouri,2018,42939
Montana,2018,44737
Nebraska,2018,48915
Nevada,2018,44521
New Hampshire,2018,54728
New Jersey,2018,56575
New Mexico,2018,39703
New York,2018,53664
North Carolina,2018,42939
North Dakota,2018,54951
Ohio,2018,44199
Oklahoma,2018,47004
Oregon,2018,43977
Pennsylvania,2018,49753
Rhode Island,2018,47720
South Carolina,2018,40736
South Dakota,2018,48915
Tennessee,2018,43466
Texas,2018,49753
Utah,2018,41927
Vermont,2018,44737
Virginia,2018,50509
Washington,2018,54728
West Virginia,2018,36166
Wisconsin,2018,45853
Wyoming,2018,53086
Alabama,2019,39010
Alaska,2019,55794
Arizona,2019,42759
Arkansas,2019,39700
California,2019,54899
Colorado,2019,53664
Connecticut,2019,62942
Delaware,2019,47332
District of Columbia,2019,70144
Florida,2019,48915
Georgia,2019,44737
Hawaii,2019,48915
Idaho,2019,44521
Illinois,2019,52377
Indiana,2019,44737
