state,year,expected_years_of_schooling
Florida,2000,15.14
Georgia,2000,14.5
Hawaii,2000,15.3
Idaho,2000,15.11
Illinois,2000,15.46
Indiana,2000,14.9
Iowa,2000,15.1
Kansas,2000,15.47
Kentucky,2000,14.3
Louisiana,2000,14.33
Maine,2000,15.52
Maryland,2000,15.77
Massachusetts,2000,15.86
Michigan,2000,15.21
Minnesota,2000,15.55
Mississippi,2000,14.15
Missouri,2000,15.14
Montana,2000,15.78
Nebraska,2000,15.43
Nevada,2000,15.44
New Hampshire,2000,16.04
New Jersey,2000,15.67
New Mexico,2000,15.41
New York,2000,15.35
North Carolina,2000,14.89
North Dakota,2000,15.28
Ohio,2000,14.93
Oklahoma,2000,14.67
Oregon,2000,15.48
Pennsylvania,2000,15.18
Rhode Island,2000,15.61
South Carolina,2000,14.59
South Dakota,2000,15.21
Tennessee,2000,14.75
Texas,2000,14.7
Utah,2000,15.71
Vermont,2000,15.87
Virginia,2000,15.46
Washington,2000,15.82
West Virginia,2000,14.28
Wisconsin,2000,15.11
Wyoming,2000,15.37
Alabama,2001,15
Alaska,2001,16.08
Arizona,2001,15.53
Arkansas,2001,14.91
California,2001,15.29
Colorado,2001,16.32
Connecticut,2001,16.12
Delaware,2001,15.79
District of Columbia,2001,15.89
Florida,2001,15.26
Georgia,2001,14.62
Hawaii,2001,15.43
Idaho,2001,15.24
Illinois,2001,15.58
Indiana,2001,15.02
Iowa,2001,15.21
Kansas,2001,15.58
Kentucky,2001,14.42
Louisiana,2001,14.45
Maine,2001,15.63
Maryland,2001,15.89
Massachusetts,2001,15.98
Michigan,2001,15.34
Minnesota,2001,15.68
Mississippi,2001,14.27
Missouri,2001,15.26
Montana,2001,15.9
Nebraska,2001,15.55
Nevada,2001,15.56
New Hampshire,2001,16.16
New Jersey,2001,15.79
New Mexico,2001,15.53
New York,2001,15.47
North Carolina,2001,15.01
North Dakota,2001,15.4
Ohio,2001,15.05
Oklahoma,2001,14.79
Oregon,2001,15.59
Pennsylvania,2001,15.3
Rhode Island,2001,15.72
South Carolina,2001,14.71
South Dakota,2001,15.33
Tennessee,2001,14.87
Texas,2001,14.82
Utah,2001,15.83
Vermont,2001,15.99
Virginia,2001,15.58
Washington,2001,15.94
West Virginia,2001,14.4
Wisconsin,2001,15.24
Wyoming,2001,15.49
Alabama,2002,15.15
Alaska,2002,16.22
Arizona,2002,15.65
Arkansas,2002,15.05
California,2002,15.42
Colorado,2002,16.44
Connecticut,2002,16.26
Delaware,2002,15.91
District of Columbia,2002,16.03
Florida,2002,15.38
Georgia,2002,14.75
Hawaii,2002,15.56
Idaho,2002,15.36
Illinois,2002,15.7
Indiana,2002,15.14
Iowa,2002,15.32
Kansas,2002,15.7
Kentucky,2002,14.56
Louisiana,2002,14.59
Maine,2002,15.75
Maryland,2002,16.02
Massachusetts,2002,16.12
Michigan,2002,15.46
Minnesota,2002,15.8
Mississippi,2002,14.4
Missouri,2002,15.38
Montana,2002,16.02
Nebraska,2002,15.67
Nevada,2002,15.69
New Hampshire,2002,16.29
New Jersey,2002,15.91
New Mexico,2002,15.65
New York,2002,15.6
North Carolina,2002,15.13
North Dakota,2002,15.51
Ohio,2002,15.17
Oklahoma,2002,14.91
Oregon,2002,15.71
Pennsylvania,2002,15.42
Rhode Island,2002,15.85
South Carolina,2002,14.83
South Dakota,2002,15.46
Tennessee,2002,15
Texas,2002,14.94
Utah,2002,15.95
Vermont,2002,16.11
Virginia,2002,15.7
Washington,2002,16.06
West Virginia,2002,14.52
Wisconsin,2002,15.36
Wyoming,2002,15.61
Alabama,2003,15.29
Alaska,2003,16.35
Arizona,2003,15.77
Arkansas,2003,15.2
California,2003,15.56
Colorado,2003,16.56
Connecticut,2003,16.4
Delaware,2003,16.02
District of Columbia,2003,16.18
Florida,2003,15.51
Georgia,2003,14.88
Hawaii,2003,15.69
Idaho,2003,15.5
Illinois,2003,15.83
Indiana,2003,15.28
Iowa,2003,15.46
Kansas,2003,15.84
Kentucky,2003,14.7
Louisiana,2003,14.74
Maine,2003,15.89
Maryland,2003,16.16
Massachusetts,2003,16.26
Michigan,2003,15.6
Minnesota,2003,15.94
Mississippi,2003,14.54
Missouri,2003,15.52
Montana,2003,16.15
Nebraska,2003,15.8
Nevada,2003,15.82
New Hampshire,2003,16.43
New Jersey,2003,16.05
New Mexico,2003,15.77
New York,2003,15.73
North Carolina,2003,15.27
North Dakota,2003,15.65
Ohio,2003,15.3
Oklahoma,2003,15.05
Oregon,2003,15.86
Pennsylvania,2003,15.56
Rhode Island,2003,15.99
South Carolina,2003,14.97
South Dakota,2003,15.6
Tennessee,2003,15.13
Texas,2003,15.08
Utah,2003,16.09
Vermont,2003,16.25
Virginia,2003,15.84
Washington,2003,16.2
West Virginia,2003,14.66
Wisconsin,2003,15.5
Wyoming,2003,15.75
Alabama,2004,15.44
Alaska,2004,16.48
Arizona,2004,15.89
Arkansas,2004,15.35
California,2004,15.69
Colorado,2004,16.68
Connecticut,2004,16.54
Delaware,2004,16.13
District of Columbia,2004,16.32
Florida,2004,15.64
Georgia,2004,15.01
Hawaii,2004,15.82
Idaho,2004,15.63
Illinois,2004,15.96
Indiana,2004,15.42
Iowa,2004,15.6
Kansas,2004,15.98
Kentucky,2004,14.84
Louisiana,2004,14.88
Maine,2004,16.02
Maryland,2004,16.3
Massachusetts,2004,16.4
Michigan,2004,15.72
Minnesota,2004,16.08
Mississippi,2004,14.67
Missouri,2004,15.65
Montana,2004,16.28
Nebraska,2004,15.94
Nevada,2004,15.95
New Hampshire,2004,16.57
New Jersey,2004,16.18
New Mexico,2004,15.9
New York,2004,15.87
North Carolina,2004,15.41
North Dakota,2004,15.78
Ohio,2004,15.44
Oklahoma,2004,15.19
Oregon,2004,15.99
Pennsylvania,2004,15.69
Rhode Island,2004,16.13
South Carolina,2004,15.1
South Dakota,2004,15.73
Tennessee,2004,15.26
Texas,2004,15.22
Utah,2004,16.23
Vermont,2004,16.38
Virginia,2004,15.97
Washington,2004,16.33
West Virginia,2004,14.79
Wisconsin,2004,15.63
Wyoming,2004,15.88
Alabama,2005,15.59
Alaska,2005,16.61
Arizona,2005,16
Arkansas,2005,15.5
California,2005,15.82
Colorado,2005,16.8
Connecticut,2005,16.69
Delaware,2005,16.25
District of Columbia,2005,16.46
Florida,2005,15.78
Georgia,2005,15.15
Hawaii,2005,15.95
Idaho,2005,15.76
Illinois,2005,16.1
Indiana,2005,15.57
Iowa,2005,15.74
Kansas,2005,16.13
Kentucky,2005,14.98
Louisiana,2005,15.02
Maine,2005,16.16
