state,year,gdp
District of Columbia,2008,116213.7
Florida,2008,891766.9
Georgia,2008,481860.3
Hawaii,2008,76830.2
Idaho,2008,63878.2
Illinois,2008,759095.3
Indiana,2008,322384.3
Iowa,2008,160469.1
Kansas,2008,147265
Kentucky,2008,186515.9
Louisiana,2008,237061.6
Maine,2008,59845.1
Maryland,2008,338165.4
Massachusetts,2008,447526.8
Michigan,2008,455256.7
Minnesota,2008,309290.4
Mississippi,2008,109434
Missouri,2008,297881.8
Montana,2008,42049.3
Nebraska,2008,99860.1
Nevada,2008,152745.6
New Hampshire,2008,71195.6
New Jersey,2008,573202.7
New Mexico,2008,89012.9
New York,2008,1328095.7
North Carolina,2008,492688.8
North Dakota,2008,35030.4
Ohio,2008,580389
Oklahoma,2008,158987.8
Oregon,2008,184842.6
Pennsylvania,2008,665148.3
Rhode Island,2008,54977.1
South Carolina,2008,192497.1
South Dakota,2008,43278.5
Tennessee,2008,298526.9
Texas,2008,1287191.5
Utah,2008,133662.9
Vermont,2008,30168.6
Virginia,2008,462034.7
Washington,2008,401093.2
West Virginia,2008,70966.8
Wisconsin,2008,286204.7
Wyoming,2008,41641.2
New England,2008,941279.2
Mideast,2008,3089355.4
Great Lakes,2008,2403346
Plains,2008,1092075.7
Southeast,2008,3738925.1
Southwest,2008,1833232.9
Rocky Mountain,2008,563305.6
Far West,2008,3056662.3
Alabama,2009,194192.1
Alaska,2009,54951.9
Arizona,2009,277412.4
Arkansas,2009,109833.1
California,2009,2110679.4
Colorado,2009,275659.1
Connecticut,2009,265530.8
Delaware,2009,69186.2
District of Columbia,2009,115646
Florida,2009,840480.6
Georgia,2009,464016.8
Hawaii,2009,74118.5
Idaho,2009,61276.1
Illinois,2009,740794.3
Indiana,2009,299789
Iowa,2009,156737.2
Kansas,2009,141902.5
Kentucky,2009,178112.8
Louisiana,2009,241868.8
Maine,2009,58771.8
Maryland,2009,336285.8
Massachusetts,2009,441307.6
Michigan,2009,416297.1
Minnesota,2009,296875.2
Mississippi,2009,105360
Missouri,2009,289566.8
Montana,2009,40938.4
Nebraska,2009,99986.4
Nevada,2009,140304.3
New Hampshire,2009,70498.6
New Jersey,2009,546362.2
New Mexico,2009,90829.2
New York,2009,1379504.6
North Carolina,2009,473610.5
North Dakota,2009,35971.3
Ohio,2009,550982.4
Oklahoma,2009,156856.8
Oregon,2009,176951.6
Pennsylvania,2009,645206.7
Rhode Island,2009,54481.5
South Carolina,2009,184081.3
South Dakota,2009,44255.8
Tennessee,2009,287308.8
Texas,2009,1285560.2
Utah,2009,130958.6
Vermont,2009,29565.7
Virginia,2009,460075.3
Washington,2009,390814
West Virginia,2009,70886.5
Wisconsin,2009,277279.4
Wyoming,2009,40599.6
New England,2009,920013.4
Mideast,2009,3092498.2
Great Lakes,2009,2284891.9
Plains,2009,1064276
Southeast,2009,3611267.9
Southwest,2009,1808209.6
Rocky Mountain,2009,549726.5
Far West,2009,2948080.1
Alabama,2010,199455
Alaska,2010,53652
Arizona,2010,282252.5
Arkansas,2010,113000.9
California,2010,2153852.8
Colorado,2010,279385.6
Connecticut,2010,266773.4
Delaware,2010,68291.9
District of Columbia,2010,120393.2
Florida,2010,851956.4
Georgia,2010,471588.2
Hawaii,2010,76130.2
Idaho,2010,62626.4
Illinois,2010,755391.4
Indiana,2010,320731.8
Iowa,2010,161593.1
Kansas,2010,143870.1
Kentucky,2010,186720.6
Louisiana,2010,253466.9
Maine,2010,59958.5
Maryland,2010,352622.9
Massachusetts,2010,462330.8
Michigan,2010,441271.5
Minnesota,2010,308091.9
Mississippi,2010,106711.8
Missouri,2010,295986.4
Montana,2010,42469.8
Nebraska,2010,103940.8
Nevada,2010,142614.2
New Hampshire,2010,72950.4
New Jersey,2010,554764.4
New Mexico,2010,90721
New York,2010,1431624
North Carolina,2010,482030.4
North Dakota,2010,38697.4
Ohio,2010,563816.3
Oklahoma,2010,158086.4
Oregon,2010,180738.2
Pennsylvania,2010,666805.8
Rhode Island,2010,56050.6
South Carolina,2010,188777.2
South Dakota,2010,44810.7
Tennessee,2010,292687
Texas,2010,1323059.1
Utah,2010,133739.1
Vermont,2010,30890.6
Virginia,2010,475699.3
Washington,2010,403471.3
West Virginia,2010,71823.8
Wisconsin,2010,287652.9
Wyoming,2010,39135.8
New England,2010,948885.3
Mideast,2010,3194703.1
Great Lakes,2010,2368842.3
Plains,2010,1096010.4
Southeast,2010,3695420.2
Southwest,2010,1851648.8
Rocky Mountain,2010,557538.3
Far West,2010,3010545.7
Alabama,2011,201372.8
Alaska,2011,54045.5
Arizona,2011,290411.3
Arkansas,2011,115241.8
California,2011,2192887.2
Colorado,2011,283963.8
Connecticut,2011,261555.8
Delaware,2011,71103.5
District of Columbia,2011,122636.4
Florida,2011,849395.3
Georgia,2011,481215.4
Hawaii,2011,77174.2
Idaho,2011,62704
Illinois,2011,772225.6
Indiana,2011,321532.8
Iowa,2011,164559.3
Kansas,2011,147836.8
Kentucky,2011,188389.8
Louisiana,2011,241235.9
Maine,2011,59429.7
Maryland,2011,360155.9
Massachusetts,2011,465968.6
Michigan,2011,444648.5
Minnesota,2011,313490.8
Mississippi,2011,107127.3
Missouri,2011,301889.3
Montana,2011,43834.7
Nebraska,2011,105315.7
Nevada,2011,144795.5
New Hampshire,2011,74187.3
New Jersey,2011,563503.6
New Mexico,2011,91150.3
New York,2011,1473216.5
North Carolina,2011,490159.2
North Dakota,2011,44669.8
Ohio,2011,570081.2
Oklahoma,2011,160356.1
Oregon,2011,183861.4
Pennsylvania,2011,677462.6
Rhode Island,2011,56994.4
South Carolina,2011,192429.2
South Dakota,2011,45213.9
Tennessee,2011,296180.3
Texas,2011,1370213.2
Utah,2011,137452.9
Vermont,2011,31011.6
Virginia,2011,481498
Washington,2011,408451.9
West Virginia,2011,73117.2
Wisconsin,2011,289657.4
Wyoming,2011,40049.9
New England,2011,960717.7
Mideast,2011,3246738.6
Great Lakes,2011,2410777.8
Plains,2011,1118641.5
Southeast,2011,3740875
Southwest,2011,1905322.9
Rocky Mountain,2011,567676.8
Far West,2011,3044979.7
Alabama,2012,203675.5
Alaska,2012,57087.4
Arizona,2012,297077.3
Arkansas,2012,116616.2
California,2012,2268498.4
Colorado,2012,297672.3
Connecticut,2012,267425.9
Delaware,2012,71477.5
District of Columbia,2012,125807
Florida,2012,883307.7
Georgia,2012,490161.7
Hawaii,2012,79310.8
Idaho,2012,64284.1
Illinois,2012,781297.7
Indiana,2012,326978.8
Iowa,2012,166699.2
Kansas,2012,152345.5
Kentucky,2012,192110.8
Louisiana,2012,242085.3
Maine,2012,60011.6
Maryland,2012,367098.3
Massachusetts,2012,481970.6
Michigan,2012,460309.1
Minnesota,2012,319407.9
Mississippi,2012,109033.4
Missouri,2012,308290.7
Montana,2012,45350.2
Nebraska,2012,108827.2
Nevada,2012,151525.6
New Hampshire,2012,75787
New Jersey,2012,569656.7
New Mexico,2012,90088.3
New York,2012,1510467.4
North Carolina,2012,497793.8
North Dakota,2012,54452.9
Ohio,2012,581412.3
Oklahoma,2012,166567.8
Oregon,2012,188599.4
Pennsylvania,2012,693247.9
Rhode Island,2012,57224.2
South Carolina,2012,195744.3
South Dakota,2012,46809.9
Tennessee,2012,304443
Texas,2012,1427210.9
Utah,2012,143094.6
Vermont,2012,31343.3
Virginia,2012,488219
Washington,2012,422476.9
West Virginia,2012,74602.8
Wisconsin,2012,295507
Wyoming,2012,42557.5
New England,2012,983742.8
Mideast,2012,3302489.9
Great Lakes,2012,2465495
Plains,2012,1166304
Southeast,2012,3854153.2
Southwest,2012,2012948.3
Rocky Mountain,2012,610084.7
Far West,2012,3114088.5
Alabama,2013,206962.9
Alaska,2013,54627.6
Arizona,2013,298859.9
Arkansas,2013,119842.8
California,2013,2315833
Colorado,2013,307049.2
Connecticut,2013,267448
Delaware,2013,73374.3
District of Columbia,2013,127606.3
Florida,2013,912762.6
Georgia,2013,501062.8
Hawaii,2013,81053.4
Idaho,2013,65611.4
Illinois,2013,791340.5
Indiana,2013,329388.9
Iowa,2013,169730
Kansas,2013,156475.2
Kentucky,2013,194833.8
Louisiana,2013,243542.4
Maine,2013,60570.6
Maryland,2013,371759
Massachusetts,2013,491295.5
Michigan,2013,472855.9
Minnesota,2013,329241.1
Mississippi,2013,109355.6
Missouri,2013,313437.2
Montana,2013,46385.4
Nebraska,2013,110189.6
Nevada,2013,154780
New Hampshire,2013,77174.4
New Jersey,2013,581347.1
New Mexico,2013,88962.1
New York,2013,1537233.1
North Carolina,2013,510959
North Dakota,2013,54627.6
Ohio,2013,595133
Oklahoma,2013,171638.1
Oregon,2013,195662.6
Pennsylvania,2013,707412.7
Rhode Island,2013,57613.5
South Carolina,2013,200109.8
South Dakota,2013,47471.2
Tennessee,2013,312450.4
Texas,2013,1505315.4
Utah,2013,148784.8
Vermont,2013,31604.2
Virginia,2013,494541.3
Washington,2013,434079.7
West Virginia,2013,74542.6
Wisconsin,2013,300481.5
Wyoming,2013,43360.7
New England,2013,995935.8
Mideast,2013,3341334.6
Great Lakes,2013,2529177.3
Plains,2013,1198644
Southeast,2013,3942007.8
Southwest,2013,2080775.5
Rocky Mountain,2013,627431.1
Far West,2013,3219416.7
